Label,TagSet,AssetType,Asset,AssetParent,isFedBy,City,Building,Wing,Floor,Room,Zone,AssetType2,Asset2
1F_MID_OPENOFF_CO2,CO2_Sensor,,,,"AHU1,Boiler1,Boiler2,Chiller1",Dublin,B3,SOR42,FirstFloor,OpenOffice,Middle,,
1F_NRTH_OPENOFF_CO2,CO2_Sensor,,,,"AHU1,Boiler1,Boiler2,Chiller1",Dublin,B3,SOR42,FirstFloor,OpenOffice,North,,
1F_STH_OPENOFF_CO2,CO2_Sensor,,,,"AHU1,Boiler1,Boiler2,Chiller1",Dublin,B3,SOR42,FirstFloor,OpenOffice,South,,
421_U10_CLG_VLV,FCU_Cooling_Valve_Command,FCU,42-FCU10,,"AHU1,Boiler1,Boiler2,Chiller1",Dublin,B3,SOR42,FirstFloor,SOR42_1_U10,,,
421_U10_DAT,FCU_Supply_Air_Temperature_Sensor,FCU,42-FCU10,,"AHU1,Boiler1,Boiler2,Chiller1",Dublin,B3,SOR42,FirstFloor,SOR42_1_U10,,,
421_U10_FAN_SPD,FCU_VFD_Speed_Command,FCU,42-FCU10,,"AHU1,Boiler1,Boiler2,Chiller1",Dublin,B3,SOR42,FirstFloor,SOR42_1_U10,,,
421_U10_FCU_FAULT,FCU_Fault_Status,FCU,42-FCU10,,"AHU1,Boiler1,Boiler2,Chiller1",Dublin,B3,SOR42,FirstFloor,SOR42_1_U10,,,
421_U10_HTG_VLV,FCU_Heating_Valve_Command,FCU,42-FCU10,,"AHU1,Boiler1,Boiler2,Chiller1",Dublin,B3,SOR42,FirstFloor,SOR42_1_U10,,,
421_U10_RAT,FCU_Return_Air_Temperature_Sensor,FCU,42-FCU10,,"AHU1,Boiler1,Boiler2,Chiller1",Dublin,B3,SOR42,FirstFloor,SOR42_1_U10,,,
421_U10_TEMP_SPT,FCU_Supply_Air_Temperature_Setpoint,FCU,42-FCU10,,"AHU1,Boiler1,Boiler2,Chiller1",Dublin,B3,SOR42,FirstFloor,SOR42_1_U10,,,
